"name" "first" "second" "gender" "confidence_male"
"A Adam Ding" NA "Adam" "male" "0.9959"
"A B Kristoffersen" NA NA "unknown" NA
"A Bottle" NA NA "unknown" NA
"A C Davison" NA NA "unknown" NA
"A Chatterjee" NA NA "unknown" NA
"A D Tsodikov" NA NA "unknown" NA
"A David Cummings" NA "David" "unknown" NA
"A E Ades" NA NA "unknown" NA
"A Galichon" NA NA "unknown" NA
"A Grane" NA NA "unknown" NA
"A Guillin" NA NA "unknown" NA
"A H Zwinderman" NA NA "unknown" NA
"A J Hayter" NA NA "unknown" NA
"A J Lee" NA NA "unknown" NA
"A J Scott" NA NA "unknown" NA
"A James OMalley" NA "James" "unknown" NA
"A Jara" NA NA "unknown" NA
"A Kong" NA NA "unknown" NA
"A Mallik" NA NA "unknown" NA
"A N Pettitt" NA NA "unknown" NA
"A Philip Dawid" NA "Philip" "unknown" NA
"A Richard Entsuah" NA "Richard" "unknown" NA
"A Ronald Gallant" NA "Ronald" "unknown" NA
"A Ruiz-Gazen" NA NA "unknown" NA
"A S Foulkes" NA NA "unknown" NA
"A S Hedayat" NA NA "unknown" NA
"A Touati" NA NA "unknown" NA
"A Trouve" NA NA "unknown" NA
"Aad van der Vaart" "Aad" "van" "male" "0.5284"
"Aad W van der Vaart" "Aad" NA "male" "0.5284"
"Aaron King" "Aaron" NA "male" "0.9918"
"Aarti Singh" "Aarti" NA "female" "0"
"Abba M Krieger" "Abba" NA "male" "1"
"Abbas Khalili" "Abbas" NA "male" "1"
"Abdelhadi Akharif" "Abdelhadi" NA "male" "1"
"Abdelkader Mokkadem" "Abdelkader" NA "unknown" NA
"Abdessamad Saidi" "Abdessamad" NA "unknown" NA
"Abdus S Wahed" "Abdus" NA "unknown" NA
"Abel Rodriguez" "Abel" NA "male" "0.9972"
"Abhishek Bhattacharya" "Abhishek" NA "male" "1"
"Abhyuday Mandal" "Abhyuday" NA "unknown" NA
"Adam Clements" "Adam" NA "male" "0.9959"
"Adam J Rothman" "Adam" NA "male" "0.9959"
"Adam N Glynn" "Adam" NA "male" "0.9959"
"Adarsh Joshi" "Adarsh" NA "male" "1"
"Adelchi Azzalini" "Adelchi" NA "male" "1"
"Adelmo I Bertolde" "Adelmo" NA "male" "1"
"Adi F Gazdar" "Adi" NA "female" "0.394"
"Adin-Cristian Andrei" "Adin-Cristian" NA "unknown" NA
"Adonis Yatchew" "Adonis" NA "male" "0.9879"
"Adrian Baddeley" "Adrian" NA "male" "0.9268"
"Adrian Barbu" "Adrian" NA "male" "0.9268"
"Adrian Dobra" "Adrian" NA "male" "0.9268"
"Adrian E Raftery" "Adrian" NA "male" "0.9268"
"Agnes Desolneux" "Agnes" NA "female" "0.0023"
"Agostino Nobile" "Agostino" NA "male" "1"
"Agus Sudjianto" "Agus" NA "male" "0.5162"
"Agustin Mayo-Iscar" "Agustin" NA "male" "0.9982"
"Aidan McDermott" "Aidan" NA "male" "0.9733"
"Aijun Zhang" "Aijun" NA "unknown" NA
"Aimee Zaas" "Aimee" NA "female" "0.0014"
"Aiyi Liu" "Aiyi" NA "unknown" NA
"Aiyou Chen" "Aiyou" NA "unknown" NA
